Name,Quantity,Component
"U1",1," Arduino Uno R3"
"R2",1,"220 Ω Resistor"
"U2",1," IR sensor"
"D1",1,"Red LED"
"PIEZO1",1," Piezo"
"SERVO1",1," Micro Servo"
"U3",1," LCD 16 x 2 "
